2023-02-01 18:14:16	Television	Marquee Moon	Friction
2023-02-01 18:19:00	Television	Marquee Moon	Guiding Light
2023-02-01 18:24:34	Television	Marquee Moon	Elevation
2023-02-01 18:30:02	Lloyd Cole	Guesswork	The over Under
2023-02-01 18:37:10	Lloyd Cole	Guesswork	When I Came Down from the Mountain
2023-02-01 18:42:03	Lloyd Cole	Guesswork	Night Sweats
2023-02-01 22:14:59	Weyes Blood	And In The Darkness, Hearts Aglow	God Turn Me into a Flower
2023-02-01 22:21:25	Weyes Blood	And In The Darkness, Hearts Aglow	Children of the Empire
2023-02-01 22:27:46	Weyes Blood	And In The Darkness, Hearts Aglow	Grapevine
2023-02-02 18:24:51	Orchestral Manoeuvres In The Dark	Dazzle Ships	4-Neu - 2008 Digital Remaster
2023-02-02 18:28:29	Orchestral Manoeuvres In The Dark	In Heaven Above (4- NEU Demo)	In Heaven Above - 4- NEU Demo
2023-02-02 18:32:02	Bob Dylan	Time Out of Mind	Tryin' to Get to Heaven
2023-02-02 18:37:39	Bob Dylan	Time Out of Mind	Love Sick
2023-02-02 18:43:15	Lloyd Cole	Guesswork	Violins
2023-02-02 23:26:55	Lloyd Cole	Guesswork	Moments and Whatnot
2023-02-02 23:31:21	Weyes Blood	And In The Darkness, Hearts Aglow	The Worst is Done
2023-02-02 23:37:23	Weyes Blood	And In The Darkness, Hearts Aglow	It's Not Just Me, It's Everybody
2023-02-02 23:43:41	Weyes Blood	And In The Darkness, Hearts Aglow	God Turn Me into a Flower
2023-02-03 22:43:10	Weyes Blood	And In The Darkness, Hearts Aglow	It's Not Just Me, It's Everybody
2023-02-03 22:49:28	Weyes Blood	And In The Darkness, Hearts Aglow	Hearts Aglow
2023-02-03 22:55:40	Bob Dylan	Time Out of Mind	Million Miles
2023-02-03 23:01:34	Bob Dylan	Time Out of Mind	Highlands
2023-02-04 17:15:51	Television	Marquee Moon	Prove It
2023-02-04 17:20:52	Television	Marquee Moon	Guiding Light
2023-02-04 17:26:26	Television	Marquee Moon	Friction
2023-02-04 17:31:18	Bob Dylan	Time Out of Mind	'Til I Fell In Love With You
2023-02-04 17:36:37	Bob Dylan	Time Out of Mind	Love Sick
2023-02-04 17:42:00	Bob Dylan	Time Out of Mind	Dirt Road Blues
2023-02-04 17:45:38	Bob Dylan	Time Out of Mind	Make You Feel My Love
2023-02-05 13:09:01	Television	Marquee Moon	Elevation
2023-02-05 13:14:12	Television	Marquee Moon	Guiding Light
2023-02-05 13:19:46	Television	Marquee Moon	See No Evil
2023-02-05 13:23:49	Lloyd Cole	Guesswork	The Afterlife
2023-02-05 13:28:19	Lloyd Cole	Guesswork	Moments and Whatnot
2023-02-05 15:37:41	The Zephyrs	For Sapphire Needle	Aliens
2023-02-05 15:46:02	The Zephyrs	For Sapphire Needle	God Loves A Trier
2023-02-05 15:50:09	Lloyd Cole	Guesswork	When I Came Down from the Mountain
2023-02-06 22:21:41	Bob Dylan	Time Out of Mind	Dirt Road Blues
2023-02-06 22:25:28	Bob Dylan	Time Out of Mind	Highlands
2023-02-06 22:42:01	Bob Dylan	Time Out of Mind	Love Sick
2023-02-06 22:47:27	Bob Dylan	Time Out of Mind	Make You Feel My Love
2023-02-06 22:51:15	Weyes Blood	And In The Darkness, Hearts Aglow	In Holy Flux
2023-02-06 22:53:04	Weyes Blood	And In The Darkness, Hearts Aglow	Children of the Empire
2023-02-06 22:59:09	Weyes Blood	And In The Darkness, Hearts Aglow	It's Not Just Me, It's Everybody
2023-02-06 23:05:40	The Zephyrs	For Sapphire Needle	I Tell You What
2023-02-06 23:09:11	The Zephyrs	For Sapphire Needle	Can't Tell Us Apart
2023-02-06 23:12:17	The Zephyrs	For Sapphire Needle	How Have You Been Today
2023-02-07 22:25:31	Margo Price	Strays	Radio
2023-02-07 22:28:29	Margo Price	Strays	Landfill
2023-02-07 22:34:04	Margo Price	Strays	Time Machine
2023-02-07 22:36:51	Margo Price	Strays	Been to the Mountain
2023-02-07 22:42:27	Lloyd Cole	Guesswork	Moments and Whatnot
2023-02-07 22:46:41	Lloyd Cole	Guesswork	Remains
2023-02-07 22:51:52	Lloyd Cole	Guesswork	When I Came Down from the Mountain
2023-02-07 22:56:54	The Zephyrs	For Sapphire Needle	Aliens
2023-02-07 23:05:03	The Zephyrs	For Sapphire Needle	Blue In The Face
2023-02-07 23:09:00	The Zephyrs	For Sapphire Needle	How Have You Been Today
2023-02-07 23:15:24	Orchestral Manoeuvres in the Dark	Dazzle Ships	The Romance of the Telescope
2023-02-07 23:18:53	Orchestral Manoeuvres in the Dark	Dazzle Ships	Radio Waves
2023-02-07 23:22:39	Orchestral Manoeuvres in the Dark	Dazzle Ships	Radio Prague
2023-02-07 23:23:59	Orchestral Manoeuvres in the Dark	Dazzle Ships	Genetic Engineering
2023-02-07 23:27:38	Orchestral Manoeuvres in the Dark	Dazzle Ships	ABC Auto-Industry
2023-02-07 23:29:46	Orchestral Manoeuvres in the Dark	Dazzle Ships	Silent Running
2023-02-09 22:31:42	The Zephyrs	For Sapphire Needle	God Loves A Trier
2023-02-09 22:35:32	The Zephyrs	For Sapphire Needle	How Have You Been Today
2023-02-10 21:29:21	U2	The Unforgettable Fire (Deluxe Edition Remastered)	Bad - Live
2023-02-10 22:10:16	U2	The Unforgettable Fire (Deluxe Edition Remastered)	Elvis Presley and America - Remastered 2009
2023-02-10 22:16:45	U2	The Unforgettable Fire (Deluxe Edition Remastered)	A Sort Of Homecoming - Live
2023-02-11 22:30:31	Paramore	This Is Why	The News
2023-02-11 22:33:53	Paramore	This Is Why	You First
2023-02-11 22:38:00	Paramore	This Is Why	Thick Skull
2023-02-11 22:41:54	Paramore	This Is Why	This Is Why
2023-02-11 22:47:46	Television	Marquee Moon	Marquee Moon
2023-02-11 22:58:26	Television	Marquee Moon	Venus
2023-02-11 23:03:04	Orchestral Manoeuvres in the Dark	Dazzle Ships	International
2023-02-11 23:07:30	Orchestral Manoeuvres in the Dark	Dazzle Ships	ABC Auto-Industry
2023-02-11 23:09:38	Orchestral Manoeuvres in the Dark	Dazzle Ships	Telegraph
2023-02-12 13:46:23	Weyes Blood	And In The Darkness, Hearts Aglow	The Worst is Done
2023-02-12 13:52:24	Weyes Blood	And In The Darkness, Hearts Aglow	A Given Thing
2023-02-12 13:56:27	Weyes Blood	And In The Darkness, Hearts Aglow	In Holy Flux
2023-02-12 15:32:57	The Zephyrs	For Sapphire Needle	I Tell You What
2023-02-12 15:37:12	The Zephyrs	For Sapphire Needle	Snowline
2023-02-12 15:40:47	The Zephyrs	For Sapphire Needle	Leatherback
2023-02-12 15:44:40	Paramore	This Is Why	The News
2023-02-12 15:47:49	Paramore	This Is Why	C’est Comme Ça
2023-02-12 15:50:20	Paramore	This Is Why	Big Man, Little Dignity
2023-02-12 15:54:41	Paramore	This Is Why	Liar
2023-02-13 10:24:49	Weyes Blood	And In The Darkness, Hearts Aglow	Children of the Empire
2023-02-13 10:30:53	Weyes Blood	And In The Darkness, Hearts Aglow	God Turn Me into a Flower
2023-02-13 10:37:20	Weyes Blood	And In The Darkness, Hearts Aglow	A Given Thing
2023-02-13 10:41:35	Paramore	This Is Why	You First
2023-02-13 10:45:42	Paramore	This Is Why	This Is Why
2023-02-13 10:49:10	Paramore	This Is Why	C’est Comme Ça
2023-02-13 12:22:34	The Zephyrs	For Sapphire Needle	I Tell You What
2023-02-13 12:26:10	The Zephyrs	For Sapphire Needle	How Have You Been Today
2023-02-13 15:10:59	The Zephyrs	For Sapphire Needle	I Tell You What
2023-02-13 15:14:44	The Zephyrs	For Sapphire Needle	God Loves A Trier
2023-02-13 15:18:33	The Zephyrs	For Sapphire Needle	Bolder
2023-02-15 22:20:44	Paramore	This Is Why	Thick Skull
2023-02-15 22:24:38	Paramore	This Is Why	Crave
2023-02-15 22:28:34	Paramore	This Is Why	Running Out of Time
2023-02-15 22:31:47	Paramore	This Is Why	This Is Why
2023-02-15 22:35:15	Paramore	This Is Why	C’est Comme Ça
2023-02-15 22:37:45	Paramore	This Is Why	You First
2023-02-15 22:42:11	Weyes Blood	And In The Darkness, Hearts Aglow	A Given Thing
2023-02-15 22:46:13	Weyes Blood	And In The Darkness, Hearts Aglow	The Worst is Done
2023-02-15 22:52:26	The Zephyrs	For Sapphire Needle	How Have You Been Today
2023-02-15 22:57:49	The Zephyrs	For Sapphire Needle	Snowline
2023-02-15 23:01:40	Margo Price	Strays	County Road
2023-02-15 23:07:49	Margo Price	Strays	Light Me Up
2023-02-15 23:12:55	Margo Price	Strays	Radio
2023-02-15 23:16:26	U2	The Unforgettable Fire (Remastered)	Elvis Presley and America - Remastered 2009
2023-02-15 23:22:50	U2	The Unforgettable Fire (Remastered)	The Unforgettable Fire - Remastered 2009
2023-02-15 23:27:45	U2	The Unforgettable Fire (Remastered)	Indian Summer Sky - Remastered 2009
