2023-05-01 15:06:54	Wednesday	Rat Saw God	Chosen to Deserve
2023-05-01 15:12:28	Wednesday	Rat Saw God	Formula One
2023-05-01 15:15:29	The Bluebells	In The 21st Century	Daddy Was An Engineer
2023-05-01 15:19:42	The Bluebells	In The 21st Century	Living Out Loud
2023-05-01 15:23:33	Laurel Canyon	Laurel Canyon	Shove
2023-05-01 15:27:15	Laurel Canyon	Laurel Canyon	A Man About Town
2023-05-01 16:28:54	The National	First Two Pages of Frankenstein	Tropic Morning News
2023-05-01 16:34:05	The National	First Two Pages of Frankenstein	The Alcott (feat. Taylor Swift)
2023-05-01 16:38:46	A Certain Ratio	1982	Afro Dizzy
2023-05-01 16:42:29	A Certain Ratio	1982	Ballad of ACR
