Specified year (2018)
Total Tracks Unique Artists Unique albums Unique Tracks
   11721           458           604          4462
   1: ( 437) - Cocteau Twins
   2: ( 391) - David Bowie
   3: ( 317) - Orchestral Manoeuvres in the Dark
   4: ( 311) - The Rolling Stones
   5: ( 279) - The Velvet Underground
 191: (   7) - Boubacar Traoré
 192: (   7) - Nadine
 193: (   7) - The Last Poets
 194: (   7) - Melody's Echo Chamber
 195: (   7) - Dire Straits
 196: (   6) - Buck Owens
 197: (   6) - The Louvin Brothers
 198: (   6) - Lightnin' Hopkins
 199: (   6) - Townes Van Zandt
 200: (   6) - Sam Phillips
 201: (   6) - Jim Ghedi
 202: (   6) - Hawkwind Zoo
 203: (   6) - Rolling Blackouts Coastal Fever
 204: (   6) - Michael Rault
 205: (   6) - Virginia Wing
 206: (   6) - Neko Case
 207: (   6) - Bombino
 208: (   5) - Robert Duvall
 209: (   5) - Lankum
 210: (   5) - Sugar Black
 211: (   5) - Mello
 212: (   5) - Josh T. Pearson
 213: (   5) - Unknown Mortal Orchestra
 214: (   5) - Chris Carter
 215: (   5) - Bonny Doon
 216: (   5) - Wye Oak
 217: (   5) - A Place to Bury Strangers
 218: (   5) - Drinks
 219: (   5) - Slug
 220: (   5) - Trembling Bells
 221: (   5) - Mind Over Mirrors
 222: (   5) - Waylon Jennings
 223: (   5) - The Wave Pictures
 224: (   5) - Erin Rae
 225: (   5) - Jon Hassell
 226: (   5) - Jimmie Dale Gilmore
 227: (   5) - Sarah Vaughan
 228: (   5) - Esperanza Spalding
 229: (   4) - Ian Dury
 230: (   4) - Yo La Tengo
 231: (   4) - Graham Coxon
 232: (   4) - Gwenno
 233: (   4) - Guided by Voices
 234: (   4) - Joan Baez
 235: (   4) - David Byrne
 236: (   4) - Jonathan Wilson
 237: (   4) - Lucy Dacus
 238: (   4) - Cavern of Anti-Matter
 239: (   4) - The Mighty Diamonds
 240: (   4) - The Abyssinians
 241: (   4) - Chalice
 242: (   4) - Mankind
 243: (   4) - Lehbanchuleh
 244: (   4) - Judy Mowatt
 245: (   4) - Fourth Street Sisters
 246: (   4) - Bradley Brown
 247: (   4) - Lea Sirk
 248: (   4) - Arthur Prysock
 249: (   4) - Shirley Horn
 250: (   4) - Mary Stallings
 251: (   4) - Diana Krall
 252: (   4) - Mose Allison
 253: (   4) - Lena Horne
 254: (   4) - Johnny Hartman
 255: (   4) - Kamal Keila
 256: (   3) - Juana Molina
 257: (   3) - Philip Glass
 258: (   3) - The Massed Carnaby St John Cooper Clarkes
 259: (   3) - James Blood Ulmer
 260: (   3) - Television Personalities
 261: (   3) - Xylouris White
 262: (   3) - Stephen Malkmus
 263: (   3) - Mélissa Laveaux
 264: (   3) - Haley Heynderickx
 265: (   3) - creep show
 266: (   3) - Nap Eyes
 267: (   3) - Anne McCue
 268: (   3) - Cesár Sampson
 269: (   3) - SENNEK
 270: (   3) - Equinox
 271: (   3) - Rasmussen
 272: (   3) - Surie
 273: (   3) - Yianna Terzi
 274: (   3) - Dave Brock
 275: (   3) - Haircut 100
 276: (   3) - John Coltrane & Johnny Hartman
 277: (   3) - Kurt Elling
 278: (   3) - Luluc
 279: (   3) - Nathan Salsburg
 280: (   3) - White Fence
 281: (   3) - Jim James
 282: (   3) - Dirty Projectors
 283: (   3) - RVG
 284: (   3) - The Innocence Mission
 285: (   3) - Gwenifer Raymond
 286: (   3) - ABC
 287: (   2) - Hurray For The Riff Raff
 288: (   2) - Joan Shelley
 289: (   2) - Chuck Johnson
 290: (   2) - Slowdive
 291: (   2) - Richard Dawson
 292: (   2) - Colin Farrell & Jeff Bridges
 293: (   2) - The Beat
 294: (   2) - Pere Ubu
 295: (   2) - Wah! Heat
 296: (   2) - Cabaret Voltaire
 297: (   2) - Deutsch Amerikanische Freundschaft
 298: (   2) - Furious Pig
 299: (   2) - Panther Burns
 300: (   2) - Buzzcocks
 301: (   2) - Essential Logic
 302: (   2) - Robert Wyatt
 303: (   2) - The Raincoats
 304: (   2) - Josef K
 305: (   2) - Blue Orchids
 306: (   2) - Virgin Prunes
 307: (   2) - The Red Krayola
 308: (   2) - Eddie Vedder
 309: (   2) - Sonic Youth
 310: (   2) - Richie Havens
 311: (   2) - Cat Power
 312: (   2) - John Doe
 313: (   2) - Karen O
 314: (   2) - Sevak Khanagyan
 315: (   2) - Jessica Mauboy
 316: (   2) - Aisel
 317: (   2) - Alekseev
 318: (   2) - Eleni Foureira
 319: (   2) - Amaia Romero & Alfred García
 320: (   2) - Elina Nechayeva
 321: (   2) - AWS
 322: (   2) - Ari Olafsson
 323: (   2) - Ieva Zasimauskaitė
 324: (   2) - Laura Rizzotto
 325: (   2) - Doredos
 326: (   2) - Vanja Radovanović
 327: (   2) - Waylon
 328: (   2) - Gromee
 329: (   2) - Cláudia Pascoal
 330: (   2) - Sanja Ilić & Balkanika
 331: (   2) - Mary Lattimore
 332: (   2) - Bob Dylan and Joan Baez
 333: (   2) - dcoops
 334: (   2) - Rodney Crowell (duet with Emmylou Harris)
 335: (   2) - Blossom Dearie
 336: (   2) - Harry Connick, Jr.
 337: (   2) - Olivia Chaney
 338: (   2) - Matty
 339: (   2) - Dawes
 340: (   2) - The Pretty Things
 341: (   2) - The Yardbirds
 342: (   2) - The Who
 343: (   2) - Soft Cell
 344: (   1) - Gas
 345: (   1) - The War on Drugs
 346: (   1) - Julie Byrne
 347: (   1) - BBC Radio 3
 348: (   1) - The Gist
 349: (   1) - Subway Sect
 350: (   1) - Adam Gussow
 351: (   1) - Mason Jennings
 352: (   1) - Los Lobos
 353: (   1) - Jeff Tweedy
 354: (   1) - Mark Lanegan
 355: (   1) - Mira Billotte
 356: (   1) - Lee Ranaldo
 357: (   1) - Sufjan Stevens
 358: (   1) - Jack Johnson
 359: (   1) - Glen Hansard
 360: (   1) - The Hold Steady
 361: (   1) - Ramblin' Jack Elliott
 362: (   1) - The Black Keys
 363: (   1) - The Million Dollar Bashers
 364: (   1) - LITERAL CRY LAUGHING After Greg Davies' AWFUL Impression
 365: (   1) - The Thin White Duke
 366: (   1) - Inner Circle
 367: (   1) - Maytones
 368: (   1) - Junior Murvin
 369: (   1) - The Heptones
 370: (   1) - Peter Tosh
 371: (   1) - Jacob Miller
 372: (   1) - Junior Byles
 373: (   1) - Bunny Wailer
 374: (   1) - Gregory Isaacs
 375: (   1) - The Upsetters
 376: (   1) - Eugent Bushpepa
 377: (   1) - ZiBBZ
 378: (   1) - Mikolas Josef
 379: (   1) - Michael Schulte
 380: (   1) - Saara Aalto
 381: (   1) - Madame Monsieur
 382: (   1) - Ethno - Jazz Band Iriao
 383: (   1) - Franka
 384: (   1) - Ryan O'Shaughnessy
 385: (   1) - Netta
 386: (   1) - Ermal Meta & Fabrizio Moro
 387: (   1) - Eye Cue
 388: (   1) - Christabelle
 389: (   1) - The Humans
 390: (   1) - jessika
 391: (   1) - Benjamin Ingrosso
 392: (   1) - Mouse on Mars
 393: (   1) - FACS
 394: (   1) - Courtney Barnett
 395: (   1) - Beach House
 396: (   1) - Jess Williamson
 397: (   1) - Shakey Graves
 398: (   1) - Yonatan Gat
 399: (   1) - Simone Felice
 400: (   1) - Ryley Walker
 401: (   1) - Eleanor Friedberger
 402: (   1) - Wand
 403: (   1) - Daniel Blumberg
 404: (   1) - Die Nerven
 405: (   1) - The Sea and Cake
 406: (   1) - Stealers Wheel
 407: (   1) - The Passions
 408: (   1) - Manfred Mann
 409: (   1) - Mungo Jerry
 410: (   1) - Strawbs
 411: (   1) - Furniture
 412: (   1) - Japan
 413: (   1) - Middle Of The Road
 414: (   1) - The Chameleons
 415: (   1) - Suzi Quatro
 416: (   1) - Department S
 417: (   1) - The Teardrop Explodes
 418: (   1) - Faces
 419: (   1) - MELOVIN
 420: (   1) - Jimmy Dale Gilmore
 421: (   1) - Melodies Echo Chamber
 422: (   1) - Jon Hassel
 423: (   1) - Jack Jones
 424: (   1) - Them
 425: (   1) - Pink Floyd
 426: (   1) - The Easybeats
 427: (   1) - The Kinks
 428: (   1) - Eurythmics
 429: (   1) - Gary Numan
 430: (   1) - Nena
 431: (   1) - a-ha
 432: (   1) - Violent Femmes
 433: (   1) - Frankie Goes to Hollywood
 434: (   1) - Dead or Alive
 435: (   1) - Men at Work
 436: (   1) - The Vapors
 437: (   1) - When In Rome
 438: (   1) - Taco
 439: (   1) - Billy Idol
 440: (   1) - Tears for Fears
 441: (   1) - R.E.M.
 442: (   1) - Plastic Bertrand
 443: (   1) - Duran Duran
 444: (   1) - INXS
 445: (   1) - Culture Club
 446: (   1) - Eddie & The Hot Rods
 447: (   1) - Martha and the Muffins
 448: (   1) - Squeeze
 449: (   1) - The Specials
 450: (   1) - Madness
 451: (   1) - The Stranglers
 452: (   1) - Nick Lowe
 453: (   1) - Visage
 454: (   1) - Harry Allen
 455: (   1) - Dave Brubeck
 456: (   1) - Aaron Weinstein
 457: (   1) - Ian Shaw
 458: (   1) - Nancy Wilson
