Specified year (2017)
Total Tracks Unique Artists Unique albums Unique Tracks
   10466           251           408          3326
   1: ( 363) - David Bowie
   2: ( 342) - Orchestral Manoeuvres in the Dark
 191: (   3) - Dr. Feelgood
 192: (   3) - John Cooper Clarke
 193: (   3) - Christy Moore
 194: (   3) - The Cravats
 195: (   3) - U Roy
 196: (   3) - Buzzcocks
 197: (   3) - The Len Price 3
 198: (   3) - Mott the Hoople
 199: (   3) - Ian Dury
 200: (   3) - Joe Strummer
 201: (   3) - the fallen leaves
 202: (   3) - Spizz Energi
 203: (   2) - Tom House
 204: (   2) - Lambchop
 205: (   2) - Bobbie Gentry
 206: (   2) - The Monkees
 207: (   2) - The Who
 208: (   2) - Sonny & Cher
 209: (   2) - Pink Floyd
 210: (   2) - Moby Grape
 211: (   2) - Donovan
 212: (   2) - Bee Gees
 213: (   2) - The Association
 214: (   2) - Family
 215: (   2) - Jefferson Airplane
 216: (   2) - The Moving Sidewalks
 217: (   2) - Fifty Foot Hose
 218: (   2) - Rick Astley
 219: (   2) - U-Roy
 220: (   2) - Buddy Holly
 221: (   2) - Eagles
 222: (   2) - The Clash
 223: (   2) - Circu5
 224: (   2) - Joe Strummer and?The Mescaleros
 225: (   1) - Kort
 226: (   1) - William Tyler
 227: (   1) - Tiny Ruins
 228: (   1) - Dump
 229: (   1) - Factory Floor
 230: (   1) - Richard Buckner
 231: (   1) - Yolo Tengo
 232: (   1) - Can
 233: (   1) - Nick Cave & The Bad Seeds
 234: (   1) - Adam Gussow
 235: (   1) - This Mortal Coil
 236: (   1) - The Chameleons
 237: (   1) - Big Brother & The Holding Company
 238: (   1) - The Doors
 239: (   1) - The Youngbloods
 240: (   1) - The Electric Prunes
 241: (   1) - The Fire Engines
 242: (   1) - The Twang
 243: (   1) - Dwight Yoakam
 244: (   1) - Japan
 245: (   1) - The Passions
 246: (   1) - Chip & Carrie
 247: (   1) - Lucinda Williams
 248: (   1) - Dixie Chicks
 249: (   1) - Men at Work
 250: (   1) - Jean-Michel Blais
 251: (   1) - Sam The Sham & The Pharaohs
