2018-07-01 10:52:49	Rodney Crowell	Rodney Crowell	Storm Warning
2018-07-01 10:57:26	Rodney Crowell	Rodney Crowell	Nashville 1972
2018-07-01 11:07:19	Rodney Crowell	Rodney Crowell	East Houston Blues
2018-07-01 11:10:56	Rodney Crowell	Rodney Crowell	Reckless
2018-07-01 11:14:27	Rodney Crowell	Rodney Crowell	Life Without Susanna
2018-07-01 11:18:38	Rodney Crowell	Rodney Crowell	It Ain't Over Yet
2018-07-01 11:23:52	Rodney Crowell	Rodney Crowell	I Don't Care Anymore
2018-07-02 08:53:26	Rodney Crowell	Rodney Crowell	I'm Tied To Ya'
2018-07-02 08:57:25	Rodney Crowell	Rodney Crowell	Forgive Me Annabelle
2018-07-02 09:01:35	Rodney Crowell	Rodney Crowell	Forty Miles From Nowhere
2018-07-02 09:07:34	Rodney Crowell	Rodney Crowell	Storm Warning
2018-07-02 09:12:12	Rodney Crowell	Rodney Crowell	Nashville 1972
2018-07-02 10:44:11	Courtney Barnett	Courtney Barnett	CITY LOOKS PRETTY
2018-07-02 10:48:53	Beach House	Beach House	Dark Spring
2018-07-02 10:52:18	Jess Williamson	Jess Williamson	WHITE BIRD
2018-07-02 10:56:05	Shakey Graves	Shakey Graves	Backseat Driver
2018-07-02 11:03:52	Yonatan Gat	Yonatan Gat	Fading Casino
2018-07-02 11:06:42	Simone Felice	Simone Felice	The Projector
2018-07-02 12:30:02	Ryley Walker	Ryley Walker	Can't Ask Why
2018-07-02 12:35:43	Eleanor Friedberger	Eleanor Friedberger	Everything
2018-07-02 12:39:34	Wand	Wand	Pure Romance
2018-07-02 12:43:13	Daniel Blumberg	Daniel Blumberg	Stacked
2018-07-02 12:48:03	Die Nerven	Die Nerven	Neue Wellen
2018-07-02 12:51:41	The Sea and Cake	The Sea and Cake	These Falling Arms
2018-07-02 12:56:34	Mary Lattimore	Mary Lattimore	It Feels Like Floating
2018-07-02 13:01:28	Mary Lattimore	Mary Lattimore	It Feels Like Floating
2018-07-03 14:14:21	The Cure	The Cure	The Holy Hour
2018-07-03 14:18:16	The Cure	The Cure	Forever
2018-07-03 14:21:52	The Cure	The Cure	Primary
2018-07-03 14:25:31	The Cure	The Cure	All Cats Are Grey
2018-07-03 15:18:59	Rodney Crowell	Rodney Crowell	Telephone Road
2018-07-03 15:24:07	Rodney Crowell	Rodney Crowell	The Rock Of My Soul
