2018-09-05 13:49:02	Phoebe Bridgers	Phoebe Bridgers	Would You Rather
2018-09-05 13:52:21	Phoebe Bridgers	Phoebe Bridgers	You Missed My Heart
2018-09-05 16:26:12	Led Zeppelin	Led Zeppelin	Good Times Bad Times
2018-09-05 16:28:58	Led Zeppelin	Led Zeppelin	Babe I'm Gonna Leave You
2018-09-05 16:35:41	Led Zeppelin	Led Zeppelin	You Shook Me
2018-09-05 16:42:09	Led Zeppelin	Led Zeppelin	Dazed and Confused
2018-09-05 16:48:38	Led Zeppelin	Led Zeppelin	Your Time Is Gonna Come
2018-09-05 16:53:12	Led Zeppelin	Led Zeppelin	Black Mountain Side
2018-09-05 16:55:25	Led Zeppelin	Led Zeppelin	Communication Breakdown
2018-09-05 16:57:55	Led Zeppelin	Led Zeppelin	I Can't Quit You Baby
2018-09-05 17:02:38	Led Zeppelin	Led Zeppelin	How Many More Times
2018-09-06 08:46:45	Bobbie Gentry	Bobbie Gentry	Mississippi Delta
2018-09-06 08:49:55	Bobbie Gentry	Bobbie Gentry	I Saw An Angel Die
2018-09-06 08:52:56	Bobbie Gentry	Bobbie Gentry	Chickasaw County Child
2018-09-06 08:55:45	Bobbie Gentry	Bobbie Gentry	Sunday Best
2018-09-06 08:58:31	Bobbie Gentry	Bobbie Gentry	Niki Hoeky
2018-09-06 09:01:20	Bobbie Gentry	Bobbie Gentry	Papa, Won't You Let Me Go To Town With You
2018-09-06 09:03:56	Bobbie Gentry	Bobbie Gentry	Bugs
2018-09-06 09:06:07	Bobbie Gentry	Bobbie Gentry	Hurry, Tuesday Child
2018-09-06 09:10:03	Bobbie Gentry	Bobbie Gentry	Lazy Willie
2018-09-06 09:12:48	Bobbie Gentry	Bobbie Gentry	Ode to Billie Joe
2018-09-06 09:18:29	Bob Dylan	Bob Dylan	Blowin' In The Wind (Live At Gerde's Folk City, New York, NY - April 1962)
2018-09-06 09:21:10	Bob Dylan	Bob Dylan	Corrina, Corrina (Live at Gerde's Folk City, New York, NY - April 1962)
2018-09-06 09:25:04	Bob Dylan	Bob Dylan	John Brown (Live at Town Hall, New York, NY - April 1963)
2018-09-06 09:48:33	Bob Dylan	Bob Dylan	Don't Think Twice, It's All Right (Live at Town Hall, New York, NY - April 1963)
2018-09-06 09:52:08	Bob Dylan	Bob Dylan	Bob Dylan's Dream (Live at Town Hall, New York, NY - April 1963)
2018-09-06 09:56:40	Bob Dylan	Bob Dylan	Seven Curses (Live at Town Hall, New York, NY - April 1963)
2018-09-06 10:01:55	Bob Dylan	Bob Dylan	Boots of Spanish Leather (Live at Town Hall, New York, NY - April 1963)
2018-09-06 10:06:39	Bob Dylan	Bob Dylan	Masters of War (Live at Carnegie Hall, New York, NY - October 1963)
2018-09-06 10:09:26	Bob Dylan	Bob Dylan	The Lonesome Death of Hattie Carroll (Live at Carnegie Hall, New York, NY - October 1963)
2018-09-06 10:14:41	Bob Dylan and Joan Baez	Bob Dylan and Joan Baez	When the Ship Comes In (Live at the March on Washington, D.C. - August 1963)
2018-09-06 10:17:57	Bob Dylan	Bob Dylan	The Times They Are A-Changin' (Live at Royal Festival Hall, London, UK - May 1964)
2018-09-06 10:21:30	Bob Dylan	Bob Dylan	Girl from the North Country (Live at Royal Festival Hall, London, UK - May 1964)
2018-09-06 10:27:22	Bob Dylan	Bob Dylan	Mr. Tambourine Man (Live at Royal Festival Hall, London, UK - May 1964)
2018-09-06 10:33:57	Bob Dylan	Bob Dylan	It Ain't Me, Babe (Live at Royal Festival Hall, London, UK - May 1964)
2018-09-06 10:38:19	Bob Dylan	Bob Dylan	To Ramona (Live at the Newport Folk Festival, Newport, RI - July 1964)
