Specified year (2015)
Total Tracks Unique Artists Unique albums Unique Tracks
    3696           308           352          2248
   1: ( 223) - Tift Merritt
   2: ( 205) - Lloyd Cole
   3: ( 202) - Bob Dylan
   4: ( 135) - Roxy Music
   5: ( 126) - Hem
 190: (   1) - The Associates
 191: (   1) - The Monkees
 192: (   1) - It's Immaterial
 193: (   1) - The Walker Brothers
 194: (   1) - Eyeless in Gaza
 195: (   1) - Free
 196: (   1) - The Passions
 197: (   1) - The Teardrop Explodes
 198: (   1) - Manfred Mann
 199: (   1) - The Stranglers
 200: (   1) - John Kongos
 201: (   1) - Sex Pistols
 202: (   1) - Mary Gauthier
 203: (   1) - Sugar Minott
 204: (   1) - Don Drummond & The Skatalites
 205: (   1) - Louisa Mark
 206: (   1) - Rudy Thomas
 207: (   1) - the FRIGHTNRS
 208: (   1) - Tony Tribe
 209: (   1) - Harry J Allstars
 210: (   1) - Boris Gardiner
 211: (   1) - Nicky Thomas
 212: (   1) - Desmond Dekker
 213: (   1) - Dave & Ansel Collins
 214: (   1) - Greyhound
 215: (   1) - Dandy Livingstone
 216: (   1) - The Ethiopians
 217: (   1) - The Maytals
 218: (   1) - Max Romeo
 219: (   1) - Delroy Wilson
 220: (   1) - Jackie Edwards
 221: (   1) - Villagers
 222: (   1) - Real Estate
 223: (   1) - Lee "Scratch" Perry
 224: (   1) - U-Roy
 225: (   1) - Big Youth
 226: (   1) - Augustus Pablo
 227: (   1) - Ike Bennett
 228: (   1) - Trevor Brown
 229: (   1) - The Lyrics
 230: (   1) - The Rhythm Rulers
 231: (   1) - Gene Rondo
 232: (   1) - The Jokers
 233: (   1) - Dice The Boss
 234: (   1) - Peggy
 235: (   1) - Barry & The Affections
 236: (   1) - Niney
 237: (   1) - Rad Bryan
 238: (   1) - Sir Lord Comic
 239: (   1) - Bingy Bunny
 240: (   1) - Annetta Jackson
 241: (   1) - Joe White
 242: (   1) - The Viceroys
 243: (   1) - Carlton Brown
 244: (   1) - Austin Faithful
 245: (   1) - Lloyd Charmers
 246: (   1) - Sir Collins
 247: (   1) - The Immortals
 248: (   1) - Keith & Tex
 249: (   1) - A Certain Ratio
 250: (   1) - Texas
 251: (   1) - Winston Francis
 252: (   1) - Roy Martell
 253: (   1) - Hot Rod All Stars
 254: (   1) - Tommy McCook
 255: (   1) - The Viceroys with Hubcap & The Wheels
 256: (   1) - The Medetators
 257: (   1) - Roy Panton
 258: (   1) - Boy Friday
 259: (   1) - Lester Sterling
 260: (   1) - Brent Dowe
 261: (   1) - The Cables
 262: (   1) - Billy Dyce
 263: (   1) - The Mighty Diamonds
 264: (   1) - Hubert Lee
 265: (   1) - The Coolers
 266: (   1) - Norris Weir
 267: (   1) - Jah Lloyd
 268: (   1) - Marcia Aitken
 269: (   1) - Winston Samuels
 270: (   1) - Anonymously Yours
 271: (   1) - Hugh Hendricks & The Buccaneers
 272: (   1) - Ska Campbell
 273: (   1) - The Dynamites
 274: (   1) - Al Barry & The Aces
 275: (   1) - Ansel Collins
 276: (   1) - Dandy
 277: (   1) - Slim Smith
 278: (   1) - Winston Wright
 279: (   1) - Bob Andy
 280: (   1) - Flick Wilson
 281: (   1) - Nora Dean
 282: (   1) - Tommy Shakespeare
 283: (   1) - Marcia Griffiths
 284: (   1) - The Soul Syndicate
 285: (   1) - Lou Reed
 286: (   1) - Nick Cave & The Bad Seeds
 287: (   1) - Joan Baez
 288: (   1) - The Adverts
 289: (   1) - Spizz Energi
 290: (   1) - Uriah Heep
 291: (   1) - The Members
 292: (   1) - Ian Dury and the Blockheads
 293: (   1) - Theatre of Hate
 294: (   1) - Miranda Lambert feat. Little Big Town
 295: (   1) - Miranda Lambert feat. The Time Jumpers
 296: (   1) - George Strait
 297: (   1) - Alison Moyet
 298: (   1) - Greg Lake
 299: (   1) - Frank Sinatra
 300: (   1) - Paul McCartney
 301: (   1) - Frankie Goes to Hollywood
 302: (   1) - Wizzard
 303: (   1) - The Pogues
 304: (   1) - Jona Lewie
 305: (   1) - John Lennon
 306: (   1) - Department S
 307: (   1) - Middle Of The Road
 308: (   1) - Dwight Yoakam
