Specified year (2019)
Total Tracks Unique Artists Unique albums Unique Tracks
    5978           302           410          2970
   1: ( 281) - David Bowie
   2: ( 222) - Lloyd Cole
   3: ( 161) - Roxy Music
   4: ( 161) - Josh Ritter
   5: ( 147) - The Cure
   6: ( 133) - Bob Dylan
   7: ( 127) - Martin Stephenson And The Daintees
   8: ( 115) - New Order
   9: ( 112) - Talking Heads
  10: ( 112) - Leonard Cohen
  11: ( 109) - The Beatles
  12: ( 103) - The Style Council
  13: ( 101) - U2
 195: (   2) - Jonathan Richman And The Modern Lovers
 196: (   2) - Loma
 197: (   2) - Yuno
 198: (   2) - Knife Knights
 199: (   2) - King Tuff
 200: (   2) - Frankie Cosmos
 201: (   2) - J Mascis
 202: (   2) - Iron & Wine
 203: (   2) - Luluc
 204: (   2) - The Afghan Whigs
 205: (   2) - Mass Gothic
 206: (   2) - Sleater-Kinney
 207: (   2) - Jo Passed
 208: (   2) - The B-52's
 209: (   2) - murrough mcbride
 210: (   2) - Sky News
 211: (   2) - Chip Taylor & Carrie Rodriguez
 212: (   2) - Martha and the Muffins
 213: (   2) - Nat King Cole
 214: (   2) - Wham!
 215: (   2) - John Lennon
 216: (   2) - The Pretenders
 217: (   2) - The Mellstock Band
 218: (   1) - oh sees
 219: (   1) - The Scaffold
 220: (   1) - The Archies
 221: (   1) - Peter, Paul & Mary
 222: (   1) - Lee Marvin
 223: (   1) - Dana
 224: (   1) - Norman Greenbaum
 225: (   1) - Christie
 226: (   1) - The Jackson 5
 227: (   1) - Mungo Jerry
 228: (   1) - Free
 229: (   1) - Cliff Richard
 230: (   1) - Lisa Stansfield
 231: (   1) - Toni Basil
 232: (   1) - Hazel O'Connor
 233: (   1) - Derek and the Dominos
 234: (   1) - Imagination
 235: (   1) - Billy Ocean
 236: (   1) - Madness
 237: (   1) - Moaning
 238: (   1) - Tamara Todevska
 239: (   1) - Mary Lee's Corvette
 240: (   1) - Books and Authors
 241: (   1) - softladification
 242: (   1) - Rosalyn
 243: (   1) - VisageVEVO
 244: (   1) - Rhino
 245: (   1) - Delacey
 246: (   1) - RHCPtv1
 247: (   1) - JCPenney
 248: (   1) - Vibracobra23 Dulosis
 249: (   1) - Christian D. Berg
 250: (   1) - inshreds66
 251: (   1) - Dollybono
 252: (   1) - Sotonpressarchive
 253: (   1) - Earl Scruggs
 254: (   1) - Eliza Gilkyson
 255: (   1) - Magazine
 256: (   1) - Doctor Who
 257: (   1) - Tintern Abbey
 258: (   1) - THE END
 259: (   1) - The Accent
 260: (   1) - Curiosity Shoppe
 261: (   1) - The Syn
 262: (   1) - The Poets
 263: (   1) - The Attack
 264: (   1) - The Fairytale
 265: (   1) - Turquoise
 266: (   1) - Al Stewart
 267: (   1) - Virgin Sleep
 268: (   1) - Human Instinct
 269: (   1) - ICE
 270: (   1) - The Moody Blues
 271: (   1) - 23rd Turnoff
 272: (   1) - The Societie
 273: (   1) - World Of Oz
 274: (   1) - Garden Odyssey Enterprise
 275: (   1) - Keith Shields
 276: (   1) - Timebox
 277: (   1) - The Plague
 278: (   1) - Andy Forray
 279: (   1) - Warm Sounds
 280: (   1) - The Civil Wars
 281: (   1) - Jona Lewie
 282: (   1) - George Strait
 283: (   1) - Dolly Parton
 284: (   1) - Greg Lake
 285: (   1) - Dinah Washington
 286: (   1) - Elvis Presley
 287: (   1) - The Church Of Leeds Parish Choir
 288: (   1) - Chris Rea
 289: (   1) - The Rolling Stones
 290: (   1) - The News 247
 291: (   1) - exclusivevids1000
 292: (   1) - BBC
 293: (   1) - The Late Late Show with James Corden
 294: (   1) - Peter Twiddy
 295: (   1) - Scritti Politti
 296: (   1) - Randy Newman
 297: (   1) - Diana Krall
 298: (   1) - The Temper Trap
 299: (   1) - Foster the People
 300: (   1) - CBC MUSIC
 301: (   1) - Dusty Springfield
 302: (   1) - Doves
